player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
51880,Chris Gayle,15 Sep 2005,v Chilaw MCC,Leicester,-,-,TDNB,-,-,-,-,-,-,1,1.0,0,16,0,16
51880,Chris Gayle,17 Sep 2005,v Wolves,Leicester,1,1,11,-,10,2,0,110,bowled,2,4.0,0,13,3,3.25
51880,Chris Gayle,16 Feb 2006,v New Zealand,Auckland,1,1,10,14,12,2,0,83.33,caught,2,4.0,0,22,2,5.5
51880,Chris Gayle,21 Jul 2006,v Bermuda,Coolidge,2,1,40*,-,22,5,3,181.81,not out,1,4.0,0,14,1,3.5
51880,Chris Gayle,29 Jul 2006,v Guyana,Coolidge,1,1,36,-,31,3,1,116.12,caught,2,4.0,0,27,1,6.75
51880,Chris Gayle,24 Jun 2007,v Derbyshire,Derby,2,1,4,4,6,0,0,66.66,bowled,1,2.0,0,15,2,7.5
51880,Chris Gayle,28 Jun 2007,v England,The Oval,1,1,5,6,8,1,0,62.5,bowled,2,DNB,-,-,-,-
51880,Chris Gayle,29 Jun 2007,v England,The Oval,1,1,61,55,37,8,1,164.86,caught,2,0.3,0,9,0,18
51880,Chris Gayle,11 Sep 2007,v South Africa,Johannesburg,1,1,117,75,57,7,10,205.26,caught,2,DNB,-,-,-,-
51880,Chris Gayle,13 Sep 2007,v Bangladesh,Johannesburg,1,1,0,2,3,0,0,0,caught,2,4.0,0,22,0,5.5
51880,Chris Gayle,16 Feb 2008,v Nevis,Coolidge,2,2,28*,-,43,3,0,65.11,not out,1,4.0,0,12,1,3
51880,Chris Gayle,23 Feb 2008,v Guyana,Coolidge,1,2,4,-,14,0,0,28.57,lbw,2,3.0,0,34,2,11.33
51880,Chris Gayle,24 Feb 2008,v Trinidad & T,Coolidge,1,5,6,-,10,1,0,60,bowled,2,DNB,-,-,-,-
51880,Chris Gayle,30 Oct 2008,v Middlesex,Coolidge,1,1,0,1,2,0,0,0,lbw,2,3.0,0,25,0,8.33
51880,Chris Gayle,1 Nov 2008,v England,Coolidge,2,1,65*,58,45,5,5,144.44,not out,1,DNB,-,-,-,-
51880,Chris Gayle,26 Dec 2008,v New Zealand,Auckland,2,1,67,60,41,5,5,163.41,caught,1,3.0,0,16,2,5.33
51880,Chris Gayle,28 Dec 2008,v New Zealand,Hamilton,2,1,1,5,4,0,0,25,caught,1,4.0,0,27,2,6.75
51880,Chris Gayle,19 Apr 2009,v Chargers,Cape Town,1,2,10,-,12,1,1,83.33,caught,2,1.0,0,14,0,14
51880,Chris Gayle,21 Apr 2009,v Kings XI,Durban,2,2,44*,-,26,2,4,169.23,not out,1,1.0,0,14,0,14
51880,Chris Gayle,23 Apr 2009,v RR,Cape Town,2,1,41,-,33,2,4,124.24,caught,1,4.0,0,20,0,5
51880,Chris Gayle,27 Apr 2009,v MI,Gqeberha,2,2,12,17,11,0,1,109.09,caught,1,2.0,0,24,0,12
51880,Chris Gayle,29 Apr 2009,v RCB,Durban,1,2,40,-,37,6,0,108.1,caught,2,3.5,0,31,0,8.08
51880,Chris Gayle,1 May 2009,v MI,East London,2,1,7,-,7,1,0,100,bowled,1,4.0,0,21,1,5.25
51880,Chris Gayle,3 May 2009,v Kings XI,Gqeberha,1,2,17,18,17,3,0,100,caught,2,3.0,0,20,0,6.66
51880,Chris Gayle,6 Jun 2009,v Australia,The Oval,2,1,88,75,50,6,6,176,caught,1,2.0,0,13,0,6.5
51880,Chris Gayle,12 Jun 2009,v India,Lord's,2,1,22,33,28,4,0,78.57,caught,1,3.0,0,13,0,4.33
51880,Chris Gayle,13 Jun 2009,v South Africa,The Oval,2,1,5,13,8,0,0,62.5,caught,1,1.0,0,7,0,7
51880,Chris Gayle,15 Jun 2009,v England,The Oval,2,1,15,9,8,3,0,187.5,bowled,1,4.0,0,25,1,6.25
51880,Chris Gayle,19 Jun 2009,v Sri Lanka,The Oval,2,1,63*,89,50,8,2,126,not out,1,3.0,0,35,0,11.66
51880,Chris Gayle,29 Dec 2009,v South Aust,W.A.C.A,2,2,44,29,24,5,3,183.33,caught,1,4.0,0,26,1,6.5
51880,Chris Gayle,16 Jan 2010,v Queensland,Brisbane,2,2,17,16,9,2,1,188.88,hit wicket,1,DNB,-,-,-,-
51880,Chris Gayle,21 Feb 2010,v Australia,Hobart,2,1,5,7,5,1,0,100,bowled,1,2.0,0,15,2,7.5
51880,Chris Gayle,23 Feb 2010,v Australia,Sydney,1,1,12,15,14,1,1,85.71,caught,2,DNB,-,-,-,-
51880,Chris Gayle,22 Mar 2010,v MI,Brabourne,1,1,75,-,60,7,2,125,lbw,2,4.0,0,31,0,7.75
51880,Chris Gayle,27 Mar 2010,v Kings XI,Mohali,1,1,14,-,12,3,0,116.66,caught,2,3.0,0,23,1,7.66
51880,Chris Gayle,29 Mar 2010,v Daredevils,Delhi,2,1,30,-,21,2,2,142.85,caught,1,4.0,0,38,1,9.5
51880,Chris Gayle,1 Apr 2010,v Chargers,Eden Gardens,1,2,4,-,7,1,0,57.14,caught,2,1.0,0,9,1,9
51880,Chris Gayle,4 Apr 2010,v Kings XI,Eden Gardens,1,2,88,-,42,6,8,209.52,caught,2,1.0,0,16,0,16
51880,Chris Gayle,7 Apr 2010,v Daredevils,Eden Gardens,1,2,40,-,21,5,2,190.47,bowled,2,DNB,-,-,-,-
51880,Chris Gayle,10 Apr 2010,v RCB,Bengaluru,1,2,34,-,15,6,1,226.66,caught,2,DNB,-,-,-,-
51880,Chris Gayle,13 Apr 2010,v CSK,Chennai,1,2,7,-,4,0,1,175,stumped,2,3.0,0,35,1,11.66
51880,Chris Gayle,17 Apr 2010,v RR,Eden Gardens,2,3,0,-,2,0,0,0,bowled,1,DNB,-,-,-,-
51880,Chris Gayle,3 May 2010,v England,Providence,2,1,25,-,12,2,2,208.33,caught,1,1.0,0,11,1,11
51880,Chris Gayle,7 May 2010,v Sri Lanka,Bridgetown,2,1,5,13,4,1,0,125,caught,1,DNB,-,-,-,-
51880,Chris Gayle,9 May 2010,v India,Bridgetown,1,1,98,88,66,5,7,148.48,run out,2,2.0,0,22,1,11
51880,Chris Gayle,11 May 2010,v Australia,Gros Islet,1,1,4,1,2,1,0,200,bowled,2,0.2,0,5,1,15
51880,Chris Gayle,19 May 2010,v South Africa,North Sound,2,1,14,24,16,2,0,87.5,caught,1,1.0,0,12,0,12
51880,Chris Gayle,20 May 2010,v South Africa,North Sound,2,1,0,7,2,0,0,0,lbw,1,DNB,-,-,-,-
51880,Chris Gayle,22 Jul 2010,v Leeward Is,Bridgetown,2,1,21,-,24,3,1,87.5,run out,1,4.0,0,19,2,4.75
51880,Chris Gayle,30 Jul 2010,v Barbados,Port of Spain,1,2,1,-,7,0,0,14.28,caught,2,3.0,0,24,0,8
51880,Chris Gayle,31 Jul 2010,v Trinidad & T,Port of Spain,1,1,0,-,3,0,0,0,caught,2,DNB,-,-,-,-
51880,Chris Gayle,30 Dec 2010,v Tasmania,W.A.C.A,2,2,22,-,19,3,0,115.78,caught,1,4.0,0,28,1,7
51880,Chris Gayle,9 Jan 2011,v NSW,Sydney,1,2,61,31,30,8,4,203.33,caught,2,2.0,0,11,0,5.5
51880,Chris Gayle,13 Jan 2011,v South Aust,W.A.C.A,2,1,6,-,2,0,1,300,stumped,1,4.0,0,34,0,8.5
51880,Chris Gayle,18 Jan 2011,v Victoria,W.A.C.A,2,2,1,10,3,0,0,33.33,caught,1,4.0,0,31,0,7.75
51880,Chris Gayle,25 Jan 2011,v Queensland,Brisbane,1,2,92,-,40,7,8,230,caught,2,4.0,0,28,0,7
51880,Chris Gayle,22 Apr 2011,v KKR,Eden Gardens,2,2,102*,-,55,10,7,185.45,not out,1,2.0,0,9,0,4.5
51880,Chris Gayle,26 Apr 2011,v Daredevils,Delhi,2,1,26,-,14,4,1,185.71,caught,1,2.0,0,20,0,10
51880,Chris Gayle,29 Apr 2011,v Warriors,Bengaluru,1,1,49,-,26,4,4,188.46,lbw,2,2.0,0,8,1,4
51880,Chris Gayle,6 May 2011,v Kings XI,Bengaluru,1,1,107,68,49,10,9,218.36,caught,2,4.0,0,21,3,5.25
51880,Chris Gayle,8 May 2011,v Kochi,Bengaluru,2,1,44,20,16,3,5,275,bowled,1,4.0,0,26,1,6.5
51880,Chris Gayle,11 May 2011,v RR,Jaipur,2,1,70*,-,44,6,4,159.09,not out,1,3.0,0,23,1,7.66
51880,Chris Gayle,14 May 2011,v KKR,Bengaluru,2,1,38,-,12,6,2,316.66,caught,1,1.0,0,11,0,11
51880,Chris Gayle,17 May 2011,v Kings XI,Dharamsala,2,1,0,-,7,0,0,0,caught,1,4.0,0,35,0,8.75
51880,Chris Gayle,22 May 2011,v CSK,Bengaluru,2,2,75*,87,50,4,6,150,not out,1,3.0,0,27,0,9
51880,Chris Gayle,24 May 2011,v CSK,Wankhede,1,2,8,-,9,0,1,88.88,lbw,2,4.0,0,19,0,4.75
51880,Chris Gayle,27 May 2011,v MI,Chennai,1,2,89,-,47,9,5,189.36,caught,2,3.0,0,11,0,3.66
51880,Chris Gayle,28 May 2011,v CSK,Chennai,2,2,0,-,3,0,0,0,caught,1,4.0,0,34,2,8.5
51880,Chris Gayle,23 Sep 2011,v Warriors,Bengaluru,1,1,23,19,14,2,2,164.28,caught,2,4.0,0,43,0,10.75
51880,Chris Gayle,29 Sep 2011,v KKR,Bengaluru,1,1,25,17,16,0,3,156.25,bowled,2,1.0,0,6,0,6
51880,Chris Gayle,3 Oct 2011,v Somerset,Bengaluru,1,1,86,-,46,4,8,186.95,caught,2,1.0,0,24,0,24
51880,Chris Gayle,5 Oct 2011,v South Aust,Bengaluru,2,1,26,-,15,0,3,173.33,caught,1,DNB,-,-,-,-
51880,Chris Gayle,7 Oct 2011,v NSW,Bengaluru,2,1,92,-,41,8,8,224.39,lbw,1,1.0,0,14,0,14
51880,Chris Gayle,9 Oct 2011,v MI,Chennai,2,2,5,27,12,1,0,41.66,lbw,1,1.0,0,6,0,6
51880,Chris Gayle,25 Nov 2011,v Eagles,Harare,2,1,27,42,31,3,0,87.09,caught,1,2.0,0,9,1,4.5
51880,Chris Gayle,26 Nov 2011,v Mountaineers,Harare,1,2,61,55,38,3,5,160.52,caught,2,4.0,0,22,4,5.5
51880,Chris Gayle,27 Nov 2011,v Rocks,Harare,2,2,0,4,1,0,0,0,caught,1,1.0,0,8,0,8
51880,Chris Gayle,29 Nov 2011,v Rhinos,Harare,1,2,109*,84,59,7,8,184.74,not out,2,3.3,0,47,0,13.42
51880,Chris Gayle,2 Dec 2011,v Mountaineers,Harare,1,2,45,56,34,3,2,132.35,caught,2,4.0,0,25,1,6.25
51880,Chris Gayle,3 Dec 2011,v Eagles,Harare,2,2,51,34,31,3,4,164.51,caught,1,4.0,0,39,1,9.75
51880,Chris Gayle,17 Dec 2011,v Stars,Melbourne,2,2,4,5,4,1,0,100,bowled,1,3.0,0,15,0,5
51880,Chris Gayle,23 Dec 2011,v Strikers,Sydney,2,2,100*,81,54,3,11,185.18,not out,1,1.0,0,9,0,9
51880,Chris Gayle,30 Dec 2011,v Renegades,Sydney,2,2,75,81,54,3,5,138.88,caught,1,2.0,0,14,0,7
51880,Chris Gayle,1 Jan 2012,v Hurricanes,Hobart,1,2,53,-,33,2,5,160.6,caught,2,1.0,0,16,0,16
51880,Chris Gayle,8 Jan 2012,v Sixers,Sydney,2,2,0,12,6,0,0,0,caught,1,3.0,0,18,1,6
51880,Chris Gayle,11 Jan 2012,v Scorchers,Sydney,1,2,20,24,16,2,1,125,caught,2,1.0,0,7,0,7
51880,Chris Gayle,17 Jan 2012,v Heat,Brisbane,2,2,0,5,1,0,0,0,caught,1,3.0,0,31,0,10.33
51880,Chris Gayle,10 Feb 2012,v Royals,Mirpur,2,2,101*,56,44,7,10,229.54,not out,1,4.0,0,27,0,6.75
51880,Chris Gayle,11 Feb 2012,v Rajshahi,Mirpur,1,2,39,37,23,4,2,169.56,caught,2,2.0,0,19,1,9.5
51880,Chris Gayle,13 Feb 2012,v Khulna,Mirpur,1,2,2,17,10,0,0,20,caught,2,3.2,0,19,0,5.7
51880,Chris Gayle,14 Feb 2012,v Dhaka,Mirpur,2,2,116,84,61,6,11,190.16,bowled,1,3.0,0,38,0,12.66
51880,Chris Gayle,16 Feb 2012,v Chittagong,Mirpur,1,2,30*,-,16,2,3,187.5,retired notout,2,DNB,-,-,-,-
51880,Chris Gayle,10 Apr 2012,v KKR,Bengaluru,2,2,2,17,8,0,0,25,caught,1,DNB,-,-,-,-
51880,Chris Gayle,12 Apr 2012,v CSK,Chennai,1,2,68,80,35,2,6,194.28,caught,2,DNB,-,-,-,-
51880,Chris Gayle,15 Apr 2012,v RR,Bengaluru,2,2,8,22,9,0,1,88.88,bowled,1,1.0,0,21,0,21
51880,Chris Gayle,17 Apr 2012,v Warriors,Bengaluru,2,2,81,76,48,4,8,168.75,bowled,1,DNB,-,-,-,-
51880,Chris Gayle,20 Apr 2012,v Kings XI,Mohali,2,2,87,89,56,8,4,155.35,caught,1,DNB,-,-,-,-
51880,Chris Gayle,23 Apr 2012,v RR,Jaipur,1,4,4,7,8,0,0,50,lbw,2,DNB,-,-,-,-
51880,Chris Gayle,25 Apr 2012,v CSK,Bengaluru,-,-,TDNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
51880,Chris Gayle,28 Apr 2012,v KKR,Eden Gardens,2,2,86,90,58,7,6,148.27,caught,1,DNB,-,-,-,-
51880,Chris Gayle,2 May 2012,v Kings XI,Bengaluru,1,2,71,65,42,6,4,169.04,caught,2,DNB,-,-,-,-
51880,Chris Gayle,6 May 2012,v Chargers,Bengaluru,2,2,26,52,22,1,2,118.18,bowled,1,1.0,0,6,0,6
51880,Chris Gayle,9 May 2012,v MI,Wankhede,2,2,82*,89,59,5,6,138.98,not out,1,DNB,-,-,-,-
51880,Chris Gayle,11 May 2012,v Warriors,Pune,1,1,57,42,31,3,6,183.87,caught,2,DNB,-,-,-,-
